Date,Average Temperature,Total Precipitation,Humidity (rh),Pressure (in),Wind Speed (mph),Max Temp
19971219,30.125,0,63.21875,22.5959375,13.3125,43
19971220,38.285714285714285,0,65.14285714285714,25.47821428571428,14.428571428571429,46
19971221,38.458333333333336,0,80.33333333333333,30.1825,9.125,43
19971222,28.03125,0,63.59375,22.6696875,12.15625,39
19971223,31,0,74.56666666666666,24.148999999999994,10.2,43
19971224,36.44,0,89.8,29.232000000000014,2.52,43
19971225,35.5,0,91.125,30.470000000000013,4.208333333333333,41
19971226,31.51851851851852,0,83.33333333333333,26.922592592592597,8.777777777777779,37
19971227,27.689655172413794,0,78.72413793103448,25.20241379310345,7.344827586206897,43
19971228,42.28,0,90.84,29.107599999999987,9.72,50
19971229,44.148148148148145,0,81.62962962962963,26.875925925925934,8.555555555555555,52
19971230,45.08,0,87.76,28.967200000000002,6.44,52
19971231,23.365853658536587,0,53.926829268292686,16.747317073170727,6.341463414634147,45
19980101,32.86206896551724,0,74.3103448275862,24.404827586206896,12.758620689655173,46
19980102,26.76,0,71.08,28.507599999999996,5.88,37
19980103,22.344827586206897,0,66,24.504137931034485,3.9655172413793105,36
19980104,15.272727272727273,0,67.18181818181819,21.50939393939394,6.484848484848484,36
19980105,30.8125,0,50.875,22.297812499999992,11.96875,43
19980106,27.333333333333332,0,52.138888888888886,19.895277777777782,3.361111111111111,45
19980107,35.04,0,77.96,27.570399999999992,11.48,41
19980108,28.64,0,65.88,28.8972,5.6,41
19980109,26.625,0,63.666666666666664,29.951666666666664,3.875,34
19980110,25,0,44.666666666666664,29.96916666666667,7.916666666666667,30
19980111,22.25,0,51.5,29.9675,5.291666666666667,30
19980112,20.807692307692307,0,61,27.470000000000006,4.230769230769231,30
19980113,21.71875,0,58.28125,21.349999999999998,11.75,41
19980114,34.16129032258065,0,60.193548387096776,22.81806451612903,14.516129032258064,48
19980115,39.107142857142854,0,65.71428571428571,25.523928571428574,12.535714285714286,50
19980116,34.55172413793103,0,70.82758620689656,24.54241379310345,10.724137931034482,45
19980117,32.78787878787879,0,60.63636363636363,21.593636363636367,10.909090909090908,50
19980118,31.305555555555557,0,53.833333333333336,19.706666666666674,9.36111111111111,54
19980119,37.86206896551724,0,75.10344827586206,24.527241379310343,8.689655172413794,48
19980120,39.851851851851855,0,73.81481481481481,26.584814814814823,10.11111111111111,46
19980121,37.629629629629626,0,78.07407407407408,26.549259259259262,11.88888888888889,45
19980122,38.888888888888886,0,78.22222222222223,26.61037037037036,10.296296296296296,48
19980123,39.13793103448276,0,71.65517241379311,24.445862068965514,16.75862068965517,52
19980124,38.2,0,65.73333333333333,23.727666666666668,14.466666666666667,50
19980125,37.666666666666664,0,65.06666666666666,23.816333333333336,13.166666666666666,50
19980126,37.733333333333334,0,66.23333333333333,23.899333333333345,9.733333333333333,50
19980127,38.76923076923077,0,76.76923076923077,26.508846153846154,6.346153846153846,48
19980128,42.73076923076923,0,78.46153846153847,27.432692307692307,9.346153846153847,50
19980129,34.26470588235294,0,62.3235294117647,20.853823529411766,8.058823529411764,50
19980130,40.76923076923077,0,78.84615384615384,26.502692307692307,6.038461538461538,54
19980131,40.708333333333336,0,84.83333333333333,29.72666666666666,2.125,50
19980201,42.15384615384615,0,68.11538461538461,27.254230769230773,6.8076923076923075,54
19980202,37.82142857142857,0,76.96428571428571,25.4675,6.785714285714286,46
19980203,42.375,0,94.33333333333333,29.454999999999995,11,46
19980204,40.592592592592595,0,84.25925925925925,26.200370370370365,4.222222222222222,48
19980205,43.80769230769231,0,76.92307692307692,27.397307692307688,10.692307692307692,52
19980206,40.357142857142854,0,67.21428571428571,25.221071428571424,4.214285714285714,52
19980207,50.48,0,63.84,28.329200000000004,7.72,61
19980208,40.75,0,71.32142857142857,25.347857142857144,8.678571428571429,52
19980209,44.791666666666664,0,76.08333333333333,30.070833333333336,7.458333333333333,50
19980210,38.642857142857146,0,62.5,25.556071428571425,12.392857142857142,50
19980211,34.83870967741935,0,68.25806451612904,23.19193548387097,11.258064516129032,48
19980212,40.107142857142854,0,78.75,25.333928571428572,13.75,52
19980213,39.964285714285715,0,69.39285714285714,25.502499999999998,12.428571428571429,48
19980214,37.37931034482759,0,68.24137931034483,24.31034482758621,8.344827586206897,50
19980215,41.074074074074076,0,76.77777777777777,26.359629629629627,5.2592592592592595,50
19980216,45.541666666666664,0,71.70833333333333,29.6225,9,57
19980217,40.5,0,73.76923076923077,27.375000000000004,7.615384615384615,46
19980218,42.22222222222222,0,73.66666666666667,26.44518518518518,17.37037037037037,54
19980219,40.275862068965516,0,69.27586206896552,24.647586206896552,6.896551724137931,54
19980220,35.3125,0,62.15625,22.146562500000005,17.125,50
19980221,36.333333333333336,0,65.5,23.448333333333334,13.133333333333333,46
19980222,30.114285714285714,0,56.25714285714286,20.397428571428577,9.6,46
19980223,40.25,0,90.70833333333333,29.93249999999999,8.833333333333334,45
19980224,32.68,0,78.84,28.7144,5.72,46
19980225,35.42857142857143,0,73.35714285714286,25.61678571428572,8.357142857142858,46
19980226,39.708333333333336,0,87.58333333333333,30.114583333333325,4.333333333333333,45
19980227,39.208333333333336,0,76.33333333333333,30.179166666666656,4.833333333333333,45
19980228,32.8,0,68.7,24.079333333333345,8.5,43
19980301,38.42857142857143,0,79.14285714285714,25.773214285714285,9.285714285714286,48
19980302,39.38461538461539,0,77.38461538461539,26.47846153846154,4.384615384615385,50
19980303,35.7037037037037,0,79.88888888888889,26.62518518518519,4.37037037037037,43
19980304,37.65384615384615,0,78.73076923076923,27.74538461538462,3.9615384615384617,45
19980305,40.166666666666664,0,81.20833333333333,30.052499999999995,4.25,45
19980306,39.416666666666664,0,72.54166666666667,30.055416666666662,2.9166666666666665,46
19980307,41.583333333333336,0,66.45833333333333,30.01458333333333,6.125,50
19980308,33.03225806451613,0,69.09677419354838,23.24645161290323,8.451612903225806,45
19980309,41,0,79.85185185185185,26.778888888888893,11.74074074074074,50
19980310,36.7,0,71,24.09766666666667,10.366666666666667,50
19980311,50.2,0,76.8,28.870000000000005,8.12,61
19980312,50.2,0,83.48,28.6548,4.8,57
19980313,40.225806451612904,0,73.16129032258064,23.20741935483871,4.451612903225806,55
19980314,43.785714285714285,0,75.03571428571429,25.820714285714292,6.214285714285714,55
19980315,35.705882352941174,0,63.55882352941177,21.230294117647055,6.0588235294117645,55
19980316,46.541666666666664,0,81.33333333333333,30.04458333333334,19.041666666666668,50
19980317,44.125,0,81.25,30.190416666666664,3.4166666666666665,50
19980318,45.91304347826087,0,81.3913043478261,30.194347826086954,4.913043478260869,52
19980319,46.25,0,81.20833333333333,30.094999999999988,4.416666666666667,54
19980320,49.125,0,85.58333333333333,29.937083333333337,4.833333333333333,54
19980321,44.851851851851855,0,79.66666666666667,26.48481481481481,6,55
19980322,34.833333333333336,0,59.861111111111114,19.877499999999998,8.416666666666666,59
19980323,41.92857142857143,0,73.03571428571429,25.373214285714287,9.892857142857142,54
19980324,44.7037037037037,0,76.25925925925925,26.37481481481482,5.296296296296297,55
19980325,39,0,67.63333333333334,23.781000000000006,7.1,54
19980326,45.958333333333336,0,71.5,29.71541666666667,11.541666666666666,48
19980327,42.125,0,72.75,29.853750000000005,7.541666666666667,46
19980328,41.833333333333336,0,76.08333333333333,29.97791666666667,10.708333333333334,48
19980329,43.416666666666664,0,68.41666666666667,30.10166666666666,4.791666666666667,50
19980330,40.96153846153846,0,76.07692307692308,27.62423076923077,9.423076923076923,46
19980331,41.73076923076923,0,80.26923076923077,27.59538461538461,6.230769230769231,48
19980401,45.608695652173914,0,87.82608695652173,29.944347826086954,4.173913043478261,50
19980402,46.041666666666664,0,83.08333333333333,30.04291666666668,6.375,50
19980403,47,0,83.5,29.992916666666662,9.166666666666666,52
19980404,45.46153846153846,0,76.15384615384616,27.614230769230762,4.384615384615385,52
19980405,40,0,69.89285714285714,24.541428571428575,8.964285714285714,54
19980406,48.458333333333336,0,75.875,29.844583333333343,7.25,55
19980407,45.6,0,68.08,28.833599999999993,8.76,54
19980408,37.5,0,67.32142857142857,25.880714285714284,5.571428571428571,48
19980409,45.5,0,69.20833333333333,30.060416666666672,5.291666666666667,52
19980410,35.064516129032256,0,65.74193548387096,23.082580645161297,5.193548387096774,46
19980411,37.6551724137931,0,68.96551724137932,24.516551724137923,8.689655172413794,50
19980412,45.416666666666664,0,74.375,29.802500000000006,7.875,52
19980413,45.166666666666664,0,74.45833333333333,29.92416666666665,9.208333333333334,52
19980414,48.291666666666664,0,72.95833333333333,29.987916666666663,7.833333333333333,54
19980415,49.541666666666664,0,66.5,30.077083333333338,4.208333333333333,57
19980416,49.083333333333336,0,69.79166666666667,30.209999999999997,6.875,55
19980417,50.125,0,71.16666666666667,30.290000000000003,6.166666666666667,57
19980418,38.375,0,58.125,22.630937500000005,8.28125,55
19980419,48.458333333333336,0,78.375,30.334999999999994,5.833333333333333,55
19980420,49.958333333333336,0,76.33333333333333,30.199583333333322,4.5,61
19980421,46.82142857142857,0,67.14285714285714,25.8825,6,61
19980422,53.130434782608695,0,78.82608695652173,29.89304347826088,10.565217391304348,59
19980423,35.94285714285714,0,60.02857142857143,20.34885714285715,5.6571428571428575,55
19980424,51.416666666666664,0,63.291666666666664,29.967916666666667,11,57
19980425,46.96153846153846,0,65.3076923076923,27.919230769230765,8.192307692307692,55
19980426,47.148148148148145,0,60.851851851851855,26.99777777777778,7.333333333333333,63
19980427,52.958333333333336,0,78.83333333333333,30.31625000000001,6.833333333333333,61
19980428,55.083333333333336,0,77.54166666666667,30.10874999999999,3.5416666666666665,64
19980429,56.958333333333336,0,70.58333333333333,29.96041666666667,7.166666666666667,66
19980430,59.5,0,67.79166666666667,29.886249999999993,8.166666666666666,68
19980501,62.869565217391305,0,65.30434782608695,29.721304347826088,6,72
19980502,61.61904761904762,0,69.33333333333333,29.78238095238094,10.80952380952381,68
19980503,58.17391304347826,0,83.30434782608695,29.966086956521746,4.304347826086956,66
19980504,50.214285714285715,0,70.71428571428571,25.61714285714285,5.535714285714286,66
